,doc_key,Points,Lead Time,Cycle Time
0,SOL-2009,8.0,26.0,20.0
1,SOL-2006,3.0,7.0,6.0
2,SOL-2005,3.0,7.0,6.0
3,SOL-1993,13.0,49.0,20.0
4,SOL-1992,21.0,29.0,25.0
5,SOL-1984,13.0,14.0,10.0
6,SOL-1977,21.0,9.0,9.0
7,SOL-1976,5.0,7.0,7.0
8,SOL-1975,8.0,13.0,13.0
9,SOL-1965,8.0,11.0,7.0
10,SOL-1944,13.0,24.0,13.0
11,SOL-1941,5.0,40.0,27.0
12,SOL-1940,8.0,42.0,29.0
13,SOL-1939,8.0,42.0,29.0
14,SOL-1938,8.0,41.0,28.0
15,SOL-1936,13.0,40.0,27.0
16,SOL-1935,5.0,20.0,7.0
17,SOL-1899,8.0,37.0,6.0
18,SOL-1897,13.0,64.0,31.0
19,SOL-1896,5.0,40.0,7.0
20,SOL-1888,3.0,53.0,7.0
21,SOL-1883,8.0,75.0,26.0
22,SOL-1882,13.0,77.0,28.0
23,SOL-1881,13.0,102.0,67.0
24,SOL-1880,3.0,28.0,9.0
25,SOL-1879,5.0,28.0,9.0
26,SOL-1878,8.0,67.0,7.0
27,SOL-1877,5.0,29.0,4.0
28,SOL-1876,8.0,39.0,6.0
29,SOL-1875,5.0,23.0,11.0
30,SOL-1874,3.0,111.0,48.0
31,SOL-1873,5.0,10.0,3.0
32,SOL-1865,8.0,122.0,11.0
33,SOL-1862,42.0,126.0,28.0
34,SOL-1860,8.0,108.0,10.0
35,SOL-1859,8.0,56.0,28.0
36,SOL-1858,13.0,112.0,84.0
37,SOL-1855,13.0,66.0,39.0
38,SOL-1854,40.0,35.0,35.0
39,SOL-1817,8.0,10.0,7.0
40,SOL-1813,13.0,254.0,252.0
41,SOL-1808,21.0,34.0,14.0
42,SOL-1800,8.0,43.0,2.0
43,SOL-1798,5.0,79.0,2.0
44,SOL-1797,8.0,80.0,3.0
45,SOL-1796,13.0,80.0,7.0
46,SOL-1795,21.0,169.0,21.0
47,SOL-1793,5.0,154.0,17.0
48,SOL-1792,13.0,167.0,44.0
49,SOL-1791,5.0,167.0,44.0
50,SOL-1790,5.0,159.0,9.0
51,SOL-1788,8.0,123.0,21.0
52,SOL-1784,5.0,150.0,13.0
53,SOL-1781,5.0,109.0,12.0
54,SOL-1778,8.0,206.0,84.0
55,SOL-1777,21.0,123.0,28.0
56,SOL-1768,13.0,93.0,6.0
57,SOL-1763,8.0,93.0,28.0
58,SOL-1761,5.0,98.0,7.0
59,SOL-1757,5.0,181.0,2.0
60,SOL-1748,8.0,109.0,7.0
61,SOL-1746,8.0,134.0,12.0
62,SOL-1744,5.0,209.0,3.0
63,SOL-1742,5.0,209.0,3.0
64,SOL-1741,40.0,182.0,150.0
65,SOL-1740,40.0,167.0,86.0
66,SOL-1739,20.0,182.0,136.0
67,SOL-1732,5.0,209.0,6.0
68,SOL-1731,8.0,206.0,39.0
69,SOL-1730,8.0,218.0,29.0
70,SOL-1727,5.0,37.0,8.0
71,SOL-1726,13.0,39.0,30.0
72,SOL-1725,0.0,9.0,1.0
73,SOL-1719,3.0,23.0,22.0
74,SOL-1707,8.0,177.0,170.0
75,SOL-1701,5.0,13.0,5.0
76,SOL-1700,3.0,25.0,3.0
77,SOL-1698,8.0,91.0,10.0
78,SOL-1694,8.0,64.0,21.0
79,SOL-1691,8.0,189.0,6.0
80,SOL-1666,8.0,221.0,4.0
81,SOL-1663,21.0,225.0,12.0
