,key,estimate,page count,dale-chall,order,implied,trade,price,quantity,trader,instrument,account,configurable
0,SOL-1341,250,11,12.007786649796314,,,23,53,,1,11,1,
1,SOL-1533,200,9,11.32820830942893,1.0,,16,59,1.0,,10,1,
2,SOL-1534,65,6,12.334672255977274,,,6,24,,,,,
3,SOL-1536,40,9,12.649980912035325,7.0,,21,30,1.0,,,,
4,SOL-1553,100,7,13.119939682539684,5.0,,7,,,,,,
5,SOL-1585,30,13,12.32864359763921,26.0,1.0,2,1,7.0,,2,2,
6,SOL-1635,400,10,10.684137129903966,20.0,26.0,14,36,,,6,,
7,SOL-1767,80,22,12.350082542325712,52.0,,16,56,7.0,,10,1,3.0
8,SOL-1836,350,49,11.96004985383857,222.0,5.0,48,120,92.0,1,31,4,7.0
9,SOL-1843,65,7,12.861020959581532,16.0,,6,,1.0,1,,,2.0
10,SOL-1852,100,7,11.215237361934411,5.0,,2,,,,,,
11,SOL-1866,150,11,12.724739073267497,26.0,,9,,,,,1,
12,SOL-1919,150,8,12.186274010578835,14.0,17.0,2,11,4.0,,2,,
13,SOL-1946,150,8,12.273131004057966,17.0,,7,,,,,,3.0
14,SOL-1947,150,10,11.853644253704026,20.0,,19,3,3.0,,,,
15,SOL-1948,250,8,11.692828375878653,31.0,,4,,,,,,
